40,30,30,30,30,30,30,30,30,30,30,30,30,61,70,30,30,30,30,30,30,30,30,30,30,30,30,41
33,91,91,91,91,91,91,91,91,91,91,91,91,01,03,91,91,91,91,91,91,91,91,91,91,91,91,31
33,91,10,00,00,11,91,10,00,00,00,11,91,01,03,91,10,00,00,00,11,91,10,00,00,11,91,31
33,91,01,92,92,03,91,01,92,92,92,03,91,01,03,91,01,92,92,92,03,91,01,92,92,03,91,31
33,91,13,02,02,12,91,13,02,02,02,12,91,13,12,91,13,02,02,02,12,91,13,02,02,12,91,31
33,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,31
33,91,10,00,00,11,91,10,11,91,10,00,00,00,00,00,00,11,91,10,11,91,10,00,00,11,91,31
33,91,13,02,02,12,91,01,03,91,13,02,02,21,20,02,02,12,91,01,03,91,13,02,02,12,91,31
33,91,91,91,91,91,91,01,03,91,91,91,91,01,03,91,91,91,91,01,03,91,91,91,91,91,91,31
53,32,32,32,32,41,91,01,23,00,00,11,90,01,03,90,10,00,00,22,03,91,40,32,32,32,32,52
92,92,92,92,92,33,91,01,20,02,02,12,90,13,12,90,13,02,02,21,03,91,31,92,92,92,92,92
92,92,92,92,92,33,91,01,03,90,90,90,90,90,90,90,90,90,90,01,03,91,31,92,92,92,92,92
92,92,92,92,92,33,91,01,03,90,80,32,32,90,90,32,32,81,90,01,03,91,31,92,92,92,92,92
30,30,30,30,30,42,91,13,12,90,31,90,90,90,90,90,90,33,90,13,12,91,43,30,30,30,30,30
90,90,90,90,90,90,91,90,90,90,31,90,90,90,90,90,90,33,90,90,90,91,90,90,90,90,90,90
32,32,32,32,32,41,91,10,11,90,31,90,90,90,90,90,90,33,90,10,11,91,40,32,32,32,32,32
92,92,92,92,92,33,91,01,03,90,83,30,30,30,30,30,30,82,90,01,03,91,31,92,92,92,92,92
92,92,92,92,92,33,91,01,03,90,90,90,90,90,90,90,90,90,90,01,03,91,31,92,92,92,92,92
92,92,92,92,92,33,91,01,03,90,10,00,00,00,00,00,00,11,90,01,03,91,31,92,92,92,92,92
50,30,30,30,30,42,91,13,12,90,13,02,02,21,20,02,02,12,90,13,12,91,43,30,30,30,30,51
33,91,91,91,91,91,91,91,91,91,91,91,91,01,03,91,91,91,91,91,91,91,91,91,91,91,91,31
33,91,10,00,00,11,91,10,00,00,00,11,91,01,03,91,10,00,00,00,11,91,10,00,00,11,91,31
33,91,13,02,21,01,91,13,02,02,02,12,91,13,12,91,13,02,02,02,12,91,03,20,02,12,91,31
33,91,91,91,03,01,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,03,01,91,91,91,31
73,00,11,91,03,01,91,10,11,91,10,00,00,00,00,00,00,11,91,10,11,91,03,01,91,10,00,62
60,02,12,91,13,12,91,03,01,91,13,02,02,21,20,02,02,12,91,03,01,91,13,12,91,13,02,71
33,91,91,91,91,91,91,03,01,91,91,91,91,01,03,91,91,91,91,03,01,91,91,91,91,91,91,31
33,91,10,00,00,00,00,22,23,00,00,11,91,01,03,91,10,00,00,22,23,00,00,00,00,11,91,31
33,91,13,02,02,02,02,02,02,02,02,12,91,13,12,91,13,02,02,02,02,02,02,02,02,12,91,31
33,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,31
43,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
